"word"	"freq"	"probability"
"236"	"blog "	241	0.000460893828038792
"237"	"making "	238	0.000455156560469844
"238"	"maybe "	237	0.000453244137946861
"239"	"didn't "	236	0.000451331715423879
"240"	"nice "	236	0.000451331715423879
"241"	"enough "	235	0.000449419292900896
"242"	"took "	231	0.000441769602808966
"243"	"went "	229	0.000437944757763001
"244"	"someone "	229	0.000437944757763001
"245"	"please "	228	0.000436032335240019
"246"	"live "	225	0.000430295067671071
"247"	"house "	224	0.000428382645148088
"248"	"music "	224	0.000428382645148088
"249"	"food "	223	0.000426470222625106
"250"	"try "	222	0.000424557800102123
"251"	"myself "	221	0.000422645377579141
"252"	"yet "	221	0.000422645377579141
"253"	"times "	221	0.000422645377579141
"254"	"end "	219	0.000418820532533176
"255"	"came "	218	0.000416908110010193
"256"	"anything "	217	0.000414995687487211
"257"	"start "	217	0.000414995687487211
"258"	"wait "	215	0.000411170842441246
"259"	"room "	214	0.000409258419918263
"260"	"already "	214	0.000409258419918263
"261"	"t "	212	0.000405433574872298
"262"	"weekend "	212	0.000405433574872298
"263"	"found "	211	0.000403521152349315
"264"	"together "	210	0.000401608729826333
"265"	"call "	209	0.00039969630730335
"266"	"left "	209	0.00039969630730335
"267"	"real "	209	0.00039969630730335
"268"	"must "	208	0.000397783884780368
"269"	"girl "	208	0.000397783884780368
"270"	"bit "	207	0.000395871462257385
"271"	"point "	206	0.000393959039734403
"272"	"set "	203	0.000388221772165455
"273"	"told "	202	0.000386309349642473
"274"	"kids "	201	0.00038439692711949
"275"	"kind "	201	0.00038439692711949
"276"	"th "	201	0.00038439692711949
"277"	"high "	200	0.000382484504596508
"278"	"nothing "	199	0.000380572082073525
"279"	"course "	199	0.000380572082073525
"280"	"person "	199	0.000380572082073525
"281"	"three "	199	0.000380572082073525
"282"	"believe "	199	0.000380572082073525
"283"	"trying "	198	0.000378659659550542
"284"	"friend "	198	0.000378659659550542
"285"	"hard "	196	0.000374834814504577
"286"	"bad "	196	0.000374834814504577
"287"	"soon "	194	0.000371009969458612
"288"	"tomorrow "	193	0.00036909754693563
"289"	"twitter "	193	0.00036909754693563
"290"	"makes "	191	0.000365272701889665
"291"	"between "	191	0.000365272701889665
"292"	"writing "	191	0.000365272701889665
"293"	"idea "	191	0.000365272701889665
"294"	"amazing "	191	0.000365272701889665
"295"	"remember "	190	0.000363360279366682
"296"	"name "	189	0.0003614478568437
"297"	"often "	188	0.000359535434320717
"298"	"started "	188	0.000359535434320717
"299"	"far "	187	0.000357623011797735
"300"	"beautiful "	186	0.000355710589274752
"301"	"top "	185	0.000353798166751769
"302"	"hey "	184	0.000351885744228787
"303"	"heart "	183	0.000349973321705804
"304"	"working "	182	0.000348060899182822
"305"	"reading "	181	0.000346148476659839
"306"	"line "	181	0.000346148476659839
"307"	"hours "	180	0.000344236054136857
"308"	"past "	179	0.000342323631613874
"309"	"talk "	179	0.000342323631613874
"310"	"less "	178	0.000340411209090892
"311"	"later "	178	0.000340411209090892
"312"	"check "	178	0.000340411209090892
"313"	"small "	178	0.000340411209090892
"314"	"stop "	177	0.000338498786567909
"315"	"money "	175	0.000334673941521944
"316"	"true "	175	0.000334673941521944
"317"	"called "	175	0.000334673941521944
"318"	"couple "	174	0.000332761518998962
"319"	"yeah "	173	0.000330849096475979
"320"	"using "	173	0.000330849096475979
"321"	"able "	172	0.000328936673952996
"322"	"play "	171	0.000327024251430014
"323"	"white "	171	0.000327024251430014
"324"	"almost "	171	0.000327024251430014
"325"	"different "	170	0.000325111828907031
"326"	"finally "	169	0.000323199406384049
"327"	"job "	169	0.000323199406384049
"328"	"party "	169	0.000323199406384049
"329"	"others "	169	0.000323199406384049
"330"	"favorite "	168	0.000321286983861066
"331"	"seen "	168	0.000321286983861066
"332"	"full "	168	0.000321286983861066
"333"	"coming "	167	0.000319374561338084
"334"	"fact "	167	0.000319374561338084
"335"	"probably "	167	0.000319374561338084
"336"	"mind "	166	0.000317462138815101
"337"	"cool "	165	0.000315549716292119
"338"	"during "	164	0.000313637293769136
"339"	"saw "	164	0.000313637293769136
"340"	"anyone "	164	0.000313637293769136
"341"	"change "	164	0.000313637293769136
"342"	"head "	163	0.000311724871246154
"343"	"watching "	162	0.000309812448723171
"344"	"ago "	161	0.000307900026200189
"345"	"side "	161	0.000307900026200189
"346"	"pm "	160	0.000305987603677206
"347"	"black "	160	0.000305987603677206
"348"	"important "	160	0.000305987603677206
"349"	"run "	159	0.000304075181154223
"350"	"self "	159	0.000304075181154223
"351"	"state "	159	0.000304075181154223
"352"	"books "	159	0.000304075181154223
"353"	"says "	158	0.000302162758631241
"354"	"quite "	158	0.000302162758631241
"355"	"needs "	158	0.000302162758631241
"356"	"awesome "	158	0.000302162758631241
"357"	"water "	158	0.000302162758631241
"358"	"watch "	155	0.000296425491062293
"359"	"w "	155	0.000296425491062293
"360"	"second "	155	0.000296425491062293
"361"	"month "	155	0.000296425491062293
"362"	"under "	154	0.000294513068539311
"363"	"mean "	153	0.000292600646016328
"364"	"word "	153	0.000292600646016328
"365"	"least "	152	0.000290688223493346
"366"	"face "	152	0.000290688223493346
"367"	"miss "	151	0.000288775800970363
"368"	"weeks "	151	0.000288775800970363
"369"	"asked "	151	0.000288775800970363
"370"	"minutes "	151	0.000288775800970363
"371"	"wrong "	150	0.000286863378447381
"372"	"stuff "	150	0.000286863378447381
"373"	"city "	150	0.000286863378447381
"374"	"children "	149	0.000284950955924398
"375"	"store "	149	0.000284950955924398
"376"	"early "	149	0.000284950955924398
"377"	"thinking "	148	0.000283038533401416
"378"	"birthday "	148	0.000283038533401416
"379"	"movie "	148	0.000283038533401416
"380"	"however "	148	0.000283038533401416
"381"	"leave "	147	0.000281126110878433
"382"	"ive "	147	0.000281126110878433
"383"	"guys "	147	0.000281126110878433
"384"	"hear "	147	0.000281126110878433
"385"	"women "	146	0.00027921368835545
"386"	"we're "	146	0.00027921368835545
"387"	"team "	144	0.000275388843309485
"388"	"baby "	144	0.000275388843309485
"389"	"looks "	143	0.000273476420786503
"390"	"sorry "	143	0.000273476420786503
"391"	"write "	143	0.000273476420786503
"392"	"open "	143	0.000273476420786503
"393"	"wish "	143	0.000273476420786503
"394"	"cant "	142	0.00027156399826352
"395"	"wanted "	142	0.00027156399826352
"396"	"whole "	142	0.00027156399826352
"397"	"group "	142	0.00027156399826352
"398"	"bed "	141	0.000269651575740538
"399"	"sometimes "	141	0.000269651575740538
"400"	"easy "	140	0.000267739153217555
"401"	"ready "	140	0.000267739153217555
"402"	"instead "	140	0.000267739153217555
"403"	"friday "	140	0.000267739153217555
"404"	"decided "	140	0.000267739153217555
"405"	"haha "	140	0.000267739153217555
"406"	"young "	139	0.000265826730694573
"407"	"red "	139	0.000265826730694573
"408"	"means "	138	0.00026391430817159
"409"	"special "	138	0.00026391430817159
"410"	"didnt "	137	0.000262001885648608
"411"	"hair "	137	0.000262001885648608
"412"	"case "	137	0.000262001885648608
"413"	"following "	137	0.000262001885648608
"414"	"several "	137	0.000262001885648608
"415"	"rather "	136	0.000260089463125625
"416"	"half "	136	0.000260089463125625
"417"	"care "	136	0.000260089463125625
"418"	"taking "	136	0.000260089463125625
"419"	"song "	136	0.000260089463125625
"420"	"felt "	136	0.000260089463125625
"421"	"stay "	135	0.000258177040602643
"422"	"short "	135	0.000258177040602643
"423"	"enjoy "	135	0.000258177040602643
"424"	"forward "	134	0.00025626461807966
"425"	"share "	134	0.00025626461807966
"426"	"support "	134	0.00025626461807966
"427"	"hate "	133	0.000254352195556678
"428"	"guy "	133	0.000254352195556678
"429"	"needed "	133	0.000254352195556678
"430"	"card "	133	0.000254352195556678
"431"	"along "	133	0.000254352195556678
"432"	"moment "	132	0.000252439773033695
"433"	"become "	132	0.000252439773033695
"434"	"gonna "	132	0.000252439773033695
"435"	"thats "	130	0.00024861492798773
"436"	"car "	130	0.00024861492798773
"437"	"walk "	130	0.00024861492798773
"438"	"against "	130	0.00024861492798773
"439"	"business "	129	0.000246702505464747
"440"	"news "	129	0.000246702505464747
"441"	"parents "	129	0.000246702505464747
"442"	"comes "	129	0.000246702505464747
"443"	"ask "	129	0.000246702505464747
"444"	"c "	129	0.000246702505464747
"445"	"living "	128	0.000244790082941765
"446"	"girls "	128	0.000244790082941765
"447"	"doesn't "	128	0.000244790082941765
"448"	"experience "	128	0.000244790082941765
"449"	"com "	126	0.0002409652378958
"450"	"beer "	126	0.0002409652378958
"451"	"men "	125	0.000239052815372817
"452"	"feeling "	125	0.000239052815372817
"453"	"either "	125	0.000239052815372817
"454"	"child "	124	0.000237140392849835
"455"	"social "	124	0.000237140392849835
"456"	"win "	124	0.000237140392849835
"457"	"class "	124	0.000237140392849835
"458"	"move "	124	0.000237140392849835
"459"	"four "	123	0.000235227970326852
"460"	"light "	123	0.000235227970326852
"461"	"son "	123	0.000235227970326852
"462"	"summer "	123	0.000235227970326852
"463"	"playing "	123	0.000235227970326852
"464"	"film "	123	0.000235227970326852
"465"	"wonderful "	122	0.00023331554780387
"466"	"okay "	122	0.00023331554780387
"467"	"o "	122	0.00023331554780387
"468"	"add "	122	0.00023331554780387
"469"	"interesting "	121	0.000231403125280887
"470"	"mom "	121	0.000231403125280887
"471"	"list "	121	0.000231403125280887
"472"	"perfect "	120	0.000229490702757905
"473"	"green "	120	0.000229490702757905
"474"	"late "	120	0.000229490702757905
"475"	"behind "	120	0.000229490702757905
"476"	"local "	119	0.000227578280234922
"477"	"lots "	119	0.000227578280234922
"478"	"ok "	119	0.000227578280234922
"479"	"paper "	119	0.000227578280234922
"480"	"funny "	119	0.000227578280234922
"481"	"words "	118	0.000225665857711939
"482"	"power "	118	0.000225665857711939
"483"	"american "	118	0.000225665857711939
"484"	"season "	117	0.000223753435188957
"485"	"buy "	116	0.000221841012665974
"486"	"hand "	116	0.000221841012665974
"487"	"heard "	116	0.000221841012665974
"488"	"area "	116	0.000221841012665974
"489"	"months "	116	0.000221841012665974
"490"	"b "	115	0.000219928590142992
"491"	"hit "	115	0.000219928590142992
"492"	"ones "	115	0.000219928590142992
"493"	"else "	115	0.000219928590142992
"494"	"learn "	115	0.000219928590142992
"495"	"talking "	115	0.000219928590142992
"496"	"seems "	115	0.000219928590142992
"497"	"eyes "	115	0.000219928590142992
"498"	"lost "	115	0.000219928590142992
"499"	"he's "	114	0.000218016167620009
"500"	"number "	114	0.000218016167620009
"501"	"reason "	113	0.000216103745097027
"502"	"online "	113	0.000216103745097027
"503"	"given "	113	0.000216103745097027
"504"	"question "	112	0.000214191322574044
"505"	"gets "	112	0.000214191322574044
"506"	"running "	112	0.000214191322574044
"507"	"seem "	112	0.000214191322574044
"508"	"tweet "	112	0.000214191322574044
"509"	"guess "	112	0.000214191322574044
"510"	"turn "	111	0.000212278900051062
"511"	"sweet "	111	0.000212278900051062
"512"	"what's "	111	0.000212278900051062
"513"	"jesus "	110	0.000210366477528079
"514"	"rest "	110	0.000210366477528079
"515"	"longer "	110	0.000210366477528079
"516"	"especially "	110	0.000210366477528079
